no,original_text,paraphrased_text,method,quality_score,semantic_similarity,lexical_diversity,fluency_score,processing_time,word_changes,syntax_changes,success
1,Penelitian ini menggunakan metode kualitatif untuk menganalisis data wawancara dari responden.,Investigasi metode dimenggunakan oleh ini kualitatif informasi dimenganalisis oleh untuk wawancara dari responden.,hybrid,60.15999984741211,0.6843000054359436,0.4545,0.9091,0.0,2,1,True
2,Teknologi artificial intelligence berkembang pesat dalam dekade terakhir dan memberikan dampak signifikan.,:ity: Paraphrase: Paraphrase: Paraphrase: Paraphrase: Paraphrase: Paraphrasean paraphrase:,hybrid,26.020000457763672,0.08860000222921371,0.25,0.8333,2.0765,0,0,True
3,Pemerintah Indonesia mencanangkan program digitalisasi untuk meningkatkan pelayanan publik.,Pemerintah program dimencanangkan oleh Indonesia digitalisasi pelayanan dimeningkatkan oleh untuk publik.,hybrid,64.33999633789062,0.9017999768257141,0.3333,0.8889,1.1671,0,1,True
4,Mahasiswa diharapkan mampu mengembangkan kemampuan berpikir kritis melalui kegiatan pembelajaran.,Mahasiswa diharapkan kemampuan dimengembangkan oleh mampu berpikir kegiatan dimelalui oleh kritis pembelajaran.,hybrid,60.56999969482422,0.8116000294685364,0.3,0.9,1.0203,0,1,True
5,Perubahan iklim global mempengaruhi pola cuaca dan mengancam ketahanan pangan di berbagai negara.,Perubahan iklim pola dimempengaruhi oleh internasional cuaca ketahanan dimengancam oleh ditambah pangan di berbagai bangsa.,hybrid,70.27999877929688,0.7699000239372253,0.4615,0.9231,1.0045,2,2,True
6,Penggunaan media sosial telah mengubah cara masyarakat berkomunikasi dan berinteraksi.,sosial dimedia oleh Penggunaan cara dimengubah oleh telah masyarakat berkomunikasi serta berinteraksi.,hybrid,64.79000091552734,0.6703000068664551,0.4,0.9,0.9241,0,2,True
7,Hasil penelitian menunjukkan bahwa motivasi belajar berpengaruh terhadap prestasi akademik siswa.,paraphrase: belajar berpengaruh terhadap prestasi akademik siswa. Paraphrase:,hybrid,43.130001068115234,0.673799991607666,0.0909,0.8636,1.0732,0,0,True
8,Ekonomi digital membuka peluang baru bagi pelaku usaha mikro kecil dan menengah.,Perdagangan peluang dimembuka oleh digital mutakhir bagi pelaku usaha mikro kecil ditambah menengah.,hybrid,73.62999725341797,0.8776000142097473,0.4167,0.9583,1.2157,2,2,True
9,Pendidikan karakter menjadi fokus utama dalam kurikulum pendidikan nasional saat ini.,Akademik fokus dimenjadi oleh karakter utama dalam kurikulum pendidikan nasional saat ini.,hybrid,64.69999694824219,0.8984000086784363,0.3,0.9545,0.7408,1,1,True
10,Inovasi teknologi informasi membantu meningkatkan efisiensi dalam berbagai sektor industri.,Inovasi teknologi meningkatkan dimembantu oleh informasi efisiensi dalam berbagai sektor industri.,hybrid,64.05000305175781,0.9538999795913696,0.2,0.95,0.8956,0,1,True
